2025-04-02 08:47:04.708 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-04-02 08:49:55.731 [http-nio-12111-exec-4] INFO  c.e.e.c.DataComparisonController - File size: 9724 bytes
2025-04-02 08:49:55.732 [http-nio-12111-exec-4] DEBUG c.e.e.c.DataComparisonController - 文件类型: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet, 文件名: template (4).xlsx
2025-04-02 08:49:55.732 [http-nio-12111-exec-4] INFO  c.e.e.c.DataComparisonController - 开始处理上传的文件
2025-04-02 08:49:55.744 [http-nio-12111-exec-4] INFO  c.e.e.service.DataComparisonService - 开始处理上传的Excel文件，类型: import
2025-04-02 08:49:55.746 [http-nio-12111-exec-4] INFO  c.e.excelanalysis.util.ExcelUtil - 开始读取Excel文件
2025-04-02 08:49:56.103 [http-nio-12111-exec-4] INFO  c.e.excelanalysis.util.ExcelUtil - 成功解析 2 条Excel记录
2025-04-02 08:49:56.330 [http-nio-12111-exec-4] INFO  c.e.e.service.DataComparisonService - 成功处理 2 条记录
2025-04-02 08:49:56.354 [http-nio-12111-exec-4] INFO  c.e.e.c.DataComparisonController - 文件处理成功
2025-04-02 08:49:56.376 [http-nio-12111-exec-5] INFO  c.e.e.c.DataComparisonController - 接收到统计请求 - 日期: 2025-04-02, 网络类型: 4G
2025-04-02 08:49:56.376 [http-nio-12111-exec-5] INFO  c.e.e.c.DataComparisonController - 成功解析日期: 2025-04-02
2025-04-02 08:49:56.376 [http-nio-12111-exec-5] INFO  c.e.e.service.DataComparisonService - 获取统计数据 - 日期: 2025-04-02, 网络类型: 4G
2025-04-02 08:49:56.386 [http-nio-12111-exec-5] INFO  c.e.e.service.DataComparisonService - 统计数据获取成功，找到 1 条记录
2025-04-02 08:49:56.386 [http-nio-12111-exec-5] INFO  c.e.e.c.DataComparisonController - 返回数据总数: 1
2025-04-02 09:03:31.424 [http-nio-12111-exec-6] INFO  c.e.e.c.DataComparisonController - 收到文件上传请求: template (4).xlsx
2025-04-02 09:03:31.427 [http-nio-12111-exec-6] INFO  c.e.e.c.DataComparisonController - Content-Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2025-04-02 09:03:31.427 [http-nio-12111-exec-6] INFO  c.e.e.c.DataComparisonController - File size: 9721 bytes
2025-04-02 09:03:31.427 [http-nio-12111-exec-6] DEBUG c.e.e.c.DataComparisonController - 文件类型: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet, 文件名: template (4).xlsx
2025-04-02 09:03:31.428 [http-nio-12111-exec-6] INFO  c.e.e.c.DataComparisonController - 开始处理上传的文件
2025-04-02 09:03:31.438 [http-nio-12111-exec-6] INFO  c.e.e.service.DataComparisonService - 开始处理上传的Excel文件，类型: import
2025-04-02 09:03:31.439 [http-nio-12111-exec-6] INFO  c.e.excelanalysis.util.ExcelUtil - 开始读取Excel文件
2025-04-02 09:03:31.491 [http-nio-12111-exec-6] INFO  c.e.excelanalysis.util.ExcelUtil - 成功解析 2 条Excel记录
2025-04-02 09:03:31.575 [http-nio-12111-exec-6] INFO  c.e.e.service.DataComparisonService - 成功处理 2 条记录
2025-04-02 09:03:31.592 [http-nio-12111-exec-6] INFO  c.e.e.c.DataComparisonController - 文件处理成功
2025-04-02 09:03:31.644 [http-nio-12111-exec-7] INFO  c.e.e.c.DataComparisonController - 接收到统计请求 - 日期: 2025-04-02, 网络类型: 4G
2025-04-02 09:03:31.644 [http-nio-12111-exec-7] INFO  c.e.e.c.DataComparisonController - 成功解析日期: 2025-04-02
2025-04-02 09:03:31.645 [http-nio-12111-exec-7] INFO  c.e.e.service.DataComparisonService - 获取统计数据 - 日期: 2025-04-02, 网络类型: 4G
2025-04-02 09:03:31.653 [http-nio-12111-exec-7] INFO  c.e.e.service.DataComparisonService - 统计数据获取成功，找到 1 条记录
2025-04-02 09:03:31.653 [http-nio-12111-exec-7] INFO  c.e.e.c.DataComparisonController - 返回数据总数: 1
2025-04-02 09:04:02.211 [http-nio-12111-exec-8] INFO  c.e.e.c.DataComparisonController - 接收到统计请求 - 日期: 2025-04-02, 网络类型: 5G
2025-04-02 09:04:02.212 [http-nio-12111-exec-8] INFO  c.e.e.c.DataComparisonController - 成功解析日期: 2025-04-02
2025-04-02 09:04:02.212 [http-nio-12111-exec-8] INFO  c.e.e.service.DataComparisonService - 获取统计数据 - 日期: 2025-04-02, 网络类型: 5G
2025-04-02 09:04:02.226 [http-nio-12111-exec-8] INFO  c.e.e.service.DataComparisonService - 统计数据获取成功，找到 1 条记录
2025-04-02 09:04:02.226 [http-nio-12111-exec-8] INFO  c.e.e.c.DataComparisonController - 返回数据总数: 1
2025-04-02 09:14:15.963 [http-nio-12111-exec-9] INFO  c.e.e.c.DataComparisonController - 收到文件上传请求: template (4).xlsx
2025-04-02 09:14:15.968 [http-nio-12111-exec-9] INFO  c.e.e.c.DataComparisonController - Content-Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2025-04-02 09:14:15.969 [http-nio-12111-exec-9] INFO  c.e.e.c.DataComparisonController - File size: 9741 bytes
2025-04-02 09:14:15.970 [http-nio-12111-exec-9] DEBUG c.e.e.c.DataComparisonController - 文件类型: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet, 文件名: template (4).xlsx
2025-04-02 09:14:15.970 [http-nio-12111-exec-9] INFO  c.e.e.c.DataComparisonController - 开始处理上传的文件
2025-04-02 09:14:15.986 [http-nio-12111-exec-9] INFO  c.e.e.service.DataComparisonService - 开始处理上传的Excel文件，类型: import
2025-04-02 09:14:15.987 [http-nio-12111-exec-9] INFO  c.e.excelanalysis.util.ExcelUtil - 开始读取Excel文件
2025-04-02 09:14:16.215 [http-nio-12111-exec-9] INFO  c.e.excelanalysis.util.ExcelUtil - 成功解析 2 条Excel记录
2025-04-02 09:14:16.264 [http-nio-12111-exec-9] INFO  c.e.e.service.DataComparisonService - 成功处理 2 条记录
2025-04-02 09:14:16.274 [http-nio-12111-exec-9] INFO  c.e.e.c.DataComparisonController - 文件处理成功
2025-04-02 09:14:16.343 [http-nio-12111-exec-10] INFO  c.e.e.c.DataComparisonController - 接收到统计请求 - 日期: 2025-04-02, 网络类型: 5G
2025-04-02 09:14:16.344 [http-nio-12111-exec-10] INFO  c.e.e.c.DataComparisonController - 成功解析日期: 2025-04-02
2025-04-02 09:14:16.344 [http-nio-12111-exec-10] INFO  c.e.e.service.DataComparisonService - 获取统计数据 - 日期: 2025-04-02, 网络类型: 5G
2025-04-02 09:14:16.352 [http-nio-12111-exec-10] INFO  c.e.e.service.DataComparisonService - 统计数据获取成功，找到 1 条记录
2025-04-02 09:14:16.353 [http-nio-12111-exec-10] INFO  c.e.e.c.DataComparisonController - 返回数据总数: 1
2025-04-02 10:15:10.346 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-02 10:15:10.382 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-04-02 10:15:10.408 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
